paire,frequence
"('Disjoncteur ECB5 DPN.1P+N.10', 'Disjoncteur ECB5 DPN.1P+N.16')",65
"('Pressostat', 'Soupape de décharge')",60
"('Moteur vanne à 3 voies', 'Soupape de décharge')",55
"('Disjoncteur ECB5 DPN.1P+N.16', 'Disjoncteur ECB5 DPN.1P+N.20')",52
"('Vase d’expansion 10L', 'Vase d’expansion 8L')",51
"('Moteur vanne à 3 voies', 'Pressostat')",47
"('Disjoncteur ECB5 DPN.1P+N.10', 'Disjoncteur ECB5 DPN.1P+N.20')",41
"('Moniteur 4 fils noir 7 pouces VFE04', 'Sonnette 4 fils avec lecteur RFID VFE01-C')",40
"('Manomètre de pression d’eau 4 bar', 'Moteur vanne à 3 voies')",40
"('Serrure électrique noir avec doigt de verrouillage', 'Sonnette 4 fils avec lecteur RFID VFE01-C')",39
